distrito_sanitario_especial_indigena;exist_estrut_perc_ald_banheiro_particular;exist_estrut_perc_ald_casinha_latrina;exist_estrut_perc_ald_melhorias_sanits_domic_mds_indiv_coletiv;exist_estrut_perc_ald_coleta_pela_rede_publica;exist_estrut_perc_ald_sem_estrutura;est_conserv_estrut_perc_ald_estrut_exist_insatisfatoria;tipo_trat_esgoto_perc_ald_sem_informacao;tipo_trat_esgoto_perc_ald_sem_tratamento;Coleta_dest_resid_solid_perc_ald_Prefeitura_e_principl_resp;Coleta_dest_resid_solid_perc_ald_propria_aldeia_e_principl_resp;Coleta_dest_resid_solid_perc_ald_onde_nao_ha_info_os_resp;dest_resid_org_perc_ald_resid_org_alimentacao_animais;dest_resid_org_perc_ald_dest_os_resid_org_junto_resid_comuns;Possui_vala_constr_comun_perc_ald_com_pres_valas_constr_comun;prat_queima_resid_comun_perc_ald_pos_prat_queima_resid;prat_queima_resid_comun_perc_ald_nao_pos_prat_queima_resid;Logistica_reversa_perc_ald_realizam_logistica_reserva;numero_de_aldeias;populacao_total;populacao_sem_fornecimento;perc_aldeia_sem_fornecimento;perc_aldeia_abastecimento_caminhão_pipa;populacao_total_abastecimento_por_caminhao_pipa;populacao_total_com_infraestrutura_de_abastecimento;perc_aldeias_com_infraestrutura;Satisfatorio_pop;Satisfatorio_perc_aldeia;Requer_manutencao_pop;Requer_manutencao-perc_aldeia;Sem_info_perc_aldeia;N_aldeias_PMQAI;Media_do_numero_de_aldeias_monitoradas_no_mes_com_analise_dos_6_parametros;perc_de_aldeias_monitoradas_em_relação_ao_PMQAI_planejado;perc_de_aldeias_monitoradas_em_relacao_ao_total; N_aldeia;Pop_Beneficiada;Valor;D1_Media;D1_Taxa;D2_Media;D2_Taxa;D3_Media;D3_Taxa;D4_Media;D4_Taxa;D5_Media;D5_Taxa
ALAGOAS E SERGIPE;91%;0%;0%;9%;0%;9%;100%;0%;61%;0%;39%;100%;0%;45%;45%;55%;0%;33;13243;0;0%;42,40%;2445;10798;58%;7949;48%;2849;9%;0%;32;1;4%;4%;9;5944;R$ 2.830.725,51;0,80;0,06;;;1,90;0,14;0,40;0,03;0,10;0,01
ALTAMIRA;3%;0%;14%;0%;83%;0%;100%;0%;1%;98%;1%;0%;100%;99%;99%;1%;0%;104;4756;1330;45%;0,00%;;3426;55%;706;16%;2516;33%;2%;24;0;0%;0%;;;;1,00;0,21;0,20;0,04;1,30;0,27;3,60;0,76;0,40;0,08
ALTO RIO JURUÁ;12%;17%;0%;0%;71%;0%;100%;0%;6%;91%;3%;99%;0%;0%;94%;6%;0%;159;18812;6456;48%;0,00%;;12356;52%;7235;33%;3805;12%;8%;23;13;56%;8%;7;797;R$ 1.014.324,10;1,70;0,09;1,10;0,06;0,70;0,04;3,20;0,17;;
ALTO RIO NEGRO;1%;1%;0%;0%;98%;0%;100%;0%;8%;28%;62%;23%;77%;8%;90%;10%;0%;671;27313;24494;96%;0,00%;;2819;4%;743;1%;1463;2%;0%;33;1;4%;0%;;;;2,20;0,08;10,30;0,38;5,70;0,21;11,50;0,42;2,20;0,08
ALTO RIO PURUS;0%;96%;4%;0%;0%;0%;100%;0%;0%;100%;0%;100%;0%;100%;100%;0%;0%;164;11299;5810;67%;1,20%;277;5212;32%;953;5%;4259;26%;0%;15;0;0%;0%;3;719;R$ 7.613.708,63;1,20;0,11;2,00;0,18;4,30;0,38;11,50;1,02;1,00;0,09
ALTO RIO SOLIMÕES;0%;100%;0%;0%;0%;0%;100%;0%;2%;0%;98%;100%;0%;0%;100%;0%;0%;241;69990;32569;76%;0,00%;;37421;24%;32523;21%;4898;4%;0%;62;0;0%;0%;12;4805;R$ 9.928.268,91;3,40;0,05;23,60;0,34;11,20;0,16;14,90;0,21;0,70;0,01
AMAPÁ E NORTE DO PARÁ;0%;0%;1%;0%;99%;0%;92%;0%;18%;75%;7%;0%;100%;0%;100%;0%;0%;151;13655;7736;72%;0,00%;;5919;28%;0;0%;5537;23%;1%;10;0;0%;0%;3;898;R$ 3.977.240,90;1,60;0,12;0,60;0,04;0,40;0,03;0,30;0,02;0,00;0,00
ARAGUAIA;21%;0%;48%;0%;31%;0%;0%;31%;10%;90%;0%;100%;0%;0%;90%;10%;0%;42;5610;335;14%;0,00%;;5275;86%;624;24%;4572;50%;0%;17;13;79%;32%;3;2177;R$ 3.182.983,67;0,10;0,02;4,10;0,73;0,20;0,04;1,10;0,20;0,10;0,02
BAHIA;9%;0%;1%;0%;0%;0%;100%;0%;8%;1%;91%;0%;9%;0%;5%;4%;0%;145;35004;5840;32%;6,20%;764;28400;62%;401;3%;16981;41%;16%;36;0;0%;0%;21;4975;R$ 5.877.715,62;0,40;0,01;0,30;0,01;0,40;0,01;0,50;0,01;0,30;0,01
CEARÁ;92%;0%;0%;0%;1%;0%;100%;0%;27%;0%;73%;0%;85%;0%;65%;28%;0%;113;26966;756;9%;9,70%;546;25664;81%;4540;17%;5531;36%;25%;49;41;84%;36%;16;13351;R$ 12.874.370,18;1,10;0,04;1,60;0,06;2,50;0,09;0,60;0,02;0,50;0,02
