Municipio;Ano;Mastectomia;Reconstrução mama;Óbitos por CA mama;início do tratamento Até 30 dias;início do tratamento 31 - 60 dias;início do tratamento Mais de 60;mamografia Até 30 dias;mamografia 31 - 60 dias;mamografia mais de 60;mamografia Até 30 dias;mamografia 31 - 60 dias;mamografia mais de 60;histopatológico Até 30 dias;histopatológico 31 - 60 dias;histopatológico mais de 60; população feminina residente
Rio de Janeiro;2010;1200;89;935;_;_;_;_;_;_;_;_;_;;;;3515642
Rio de Janeiro;2011;1222;104;864;_;_;_;_;_;_;_;_;_;;;;3524260
Rio de Janeiro;2012;1345;199;944;_;_;_;_;_;_;_;_;_;;;;3536282
Rio de Janeiro;2013;1095;218;926;528;294;928;_;_;_;_;_;_;;;;3549697
Rio de Janeiro;2014;1186;282;948;342;289;1281;13;65;36;9;0;0;59;15;17;3563090
Rio de Janeiro;2015;988;238;960;368;284;1393;5;1;9;6;0;0;62;9;5;3575781
Rio de Janeiro;2016;1002;211;955;409;262;1414;_;_;_;9;1;0;94;8;3;3585488
Rio de Janeiro;2017;1011;263;1074;470;228;1333;_;_;_;2;0;0;112;6;4;3592032
Rio de Janeiro;2018;1014;238;1159;580;333;1582;_;_;_;_;_;_;84;3;2;3596667
Rio de Janeiro;2019;1067;168;1067;625;371;1276;_;_;_;_;_;_;58;4;26;3600315
Rio de Janeiro;2020;846;82;983;448;411;1145;_;_;_;2;0;0;72;7;1;3600366
Rio de Janeiro;2021;775;87;952;495;412;1336;2045;974;62;3;0;0;105;13;9;3594191
Rio de Janeiro;2022;689;109;1046;311;288;1313;10920;12522;13661;1;0;0;129;4;1;3586955
Rio de Janeiro;2023;531;93;1133;350;245;1342;22199;32191;39630;5;5;7;281;36;87;3583125
Rio de Janeiro;2024;566;107;1121;249;234;1550;20198;42450;40505;3;3;0;1922;483;151;3580277
Rio de Janeiro;2025;362;94;15067;87;75;1097;17955;21858;32531;6;10;98;1093;545;105;3580655
