"co_anomes","co_uf","no_municipio","sg_uf","no_uf","co_regiao_brasil","no_regiao_brasil","sg_regiao_brasil","vl_indicador_calculado_uf","vl_indicador_calculado_reg","vl_indicador_calculado_br","dt_competencia","dt_atualizacao","ds_unidade_medida","sg_granularidade","ds_granularidade"
202507,11,"","RO","Rondônia",1,"Norte","N ",18315.0,183322,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,12,"","AC","Acre",1,"Norte","N ",9072.0,183322,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,13,"","AM","Amazonas",1,"Norte","N ",35623.0,183322,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,14,"","RR","Roraima",1,"Norte","N ",3465.0,183322,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,15,"","PA","Pará",1,"Norte","N ",94041.0,183322,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,16,"","AP","Amapá",1,"Norte","N ",13628.0,183322,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,17,"","TO","Tocantins",1,"Norte","N ",9178.0,183322,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,21,"","MA","Maranhão",2,"Nordeste","NE",67028.0,732348,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,22,"","PI","Piauí",2,"Nordeste","NE",37280.0,732348,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,23,"","CE","Ceará",2,"Nordeste","NE",80850.0,732348,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
202507,24,"","RN","Rio Grande do Norte",2,"Nordeste","NE",71106.0,732348,3101449,"2025-07-01 12:00:00","2025-12-16 00:47:47","Número","UF","Unidade Federativa"
