co_anomes;co_uf;sg_uf;no_uf;co_regiao_brasil;no_regiao_brasil;sg_regiao_brasil;vl_indicador_calculado_uf;vl_indicador_calculado_reg;vl_indicador_calculado_br;leitos_cirurgicos;cirurgioes_sus;planos_de_saude;despesas_medias_saude;populacao;gini;idh
202303;12;AC;Acre;1;Norte;N ;1054;23285;357793;1590;183;43018;152894986,56;830018;0,51;0,75
202304;12;AC;Acre;1;Norte;N ;2243;45755;696135;1590;195;;152894986,56;830018;0,51;0,75
202305;12;AC;Acre;1;Norte;N ;3563;73418;1073912;1615;203;;152894986,56;830018;0,51;0,75
202306;12;AC;Acre;1;Norte;N ;5255;99276;1456420;1615;205;43280;152894986,56;830018;0,51;0,75
202307;12;AC;Acre;1;Norte;N ;6724;127883;1853450;1554;201;;152894986,56;830018;0,51;0,75
202308;12;AC;Acre;1;Norte;N ;7995;154322;2270411;1553;200;;152894986,56;830018;0,51;0,75
202309;12;AC;Acre;1;Norte;N ;9504;178284;2674593;1553;205;43547;152894986,56;830018;0,51;0,75
202310;12;AC;Acre;1;Norte;N ;10909;201892;3087156;1553;209;;152894986,56;830018;0,51;0,75
202311;12;AC;Acre;1;Norte;N ;12072;226923;3500857;1554;209;;152894986,56;830018;0,51;0,75
202312;12;AC;Acre;1;Norte;N ;13027;248762;3900344;1554;209;44028;152894986,56;830018;0,51;0,75
202401;12;AC;Acre;1;Norte;N ;1149;22262;372152;1559;208;;184100595,80;830018;0,51;0,75
202402;12;AC;Acre;1;Norte;N ;2322;46908;753900;1570;209;;184100595,80;830018;0,51;0,75
202403;12;AC;Acre;1;Norte;N ;3635;74965;1179382;1585;210;44167;184100595,80;830018;0,51;0,75
202404;12;AC;Acre;1;Norte;N ;5180;102799;1630933;1590;214;;184100595,80;830018;0,51;0,75
202405;12;AC;Acre;1;Norte;N ;6612;129873;2074887;1590;213;;184100595,80;830018;0,51;0,75
202406;12;AC;Acre;1;Norte;N ;8194;158456;2530928;1633;221;44654;184100595,80;830018;0,51;0,75
202407;12;AC;Acre;1;Norte;N ;9724;186392;3007078;1625;221;;184100595,80;830018;0,51;0,75
202408;12;AC;Acre;1;Norte;N ;11047;214968;3514418;1656;223;;184100595,80;830018;0,51;0,75
202409;12;AC;Acre;1;Norte;N ;12631;243786;4015482;1656;227;45172;184100595,80;830018;0,51;0,75
202410;12;AC;Acre;1;Norte;N ;14110;270340;4520458;1636;222;;184100595,80;830018;0,51;0,75
202411;12;AC;Acre;1;Norte;N ;15608;297702;4990573;1570;222;;184100595,80;830018;0,51;0,75
202412;12;AC;Acre;1;Norte;N ;17095;327765;5401146;1570;222;45300;184100595,80;830018;0,51;0,75
202501;12;AC;Acre;1;Norte;N ;1261;22960;394538;1577;221;;;830018;0,51;0,75
202502;12;AC;Acre;1;Norte;N ;2420;48152;813541;1573;222;;;830018;0,51;0,75
202503;12;AC;Acre;1;Norte;N ;3863;72880;1235134;1573;225;44931;;830018;0,51;0,75
202504;12;AC;Acre;1;Norte;N ;4146;99926;1686166;1579;230;;;830018;0,51;0,75
202505;12;AC;Acre;1;Norte;N ;7038;127316;2139535;1591;230;;;830018;0,51;0,75
202506;12;AC;Acre;1;Norte;N ;7527;153564;2613074;1595;238;;;830018;0,51;0,75
202507;12;AC;Acre;1;Norte;N ;9072;183322;3101449;1589;239;;;830018;0,51;0,75
202303;27;AL;Alagoas;2;Nordeste;NE;3809;92484;357793;6569;1208;389001;217051323,62;3127683;0,49;0,69
202304;27;AL;Alagoas;2;Nordeste;NE;7437;181659;696135;6485;1221;;217051323,62;3127683;0,49;0,69
202305;27;AL;Alagoas;2;Nordeste;NE;11447;283039;1073912;6500;1220;;217051323,62;3127683;0,49;0,69
202306;27;AL;Alagoas;2;Nordeste;NE;15809;387564;1456420;6524;1218;387858;217051323,62;3127683;0,49;0,69
202307;27;AL;Alagoas;2;Nordeste;NE;20171;495878;1853450;6518;1220;;217051323,62;3127683;0,49;0,69
202308;27;AL;Alagoas;2;Nordeste;NE;25515;604988;2270411;6426;1205;;217051323,62;3127683;0,49;0,69
202309;27;AL;Alagoas;2;Nordeste;NE;30559;709939;2674593;6426;1196;389261;217051323,62;3127683;0,49;0,69
202310;27;AL;Alagoas;2;Nordeste;NE;36073;819749;3087156;6444;1196;;217051323,62;3127683;0,49;0,69
202311;27;AL;Alagoas;2;Nordeste;NE;41814;931442;3500857;6561;1200;;217051323,62;3127683;0,49;0,69
202312;27;AL;Alagoas;2;Nordeste;NE;46066;1036613;3900344;6590;1200;389760;217051323,62;3127683;0,49;0,69
202401;27;AL;Alagoas;2;Nordeste;NE;4100;93157;372152;6590;1204;;184100595,80;3127683;0,49;0,69
202402;27;AL;Alagoas;2;Nordeste;NE;8427;188343;753900;6593;1212;;184100595,80;3127683;0,49;0,69
202403;27;AL;Alagoas;2;Nordeste;NE;13587;300834;1179382;6582;1211;386346;184100595,80;3127683;0,49;0,69
202404;27;AL;Alagoas;2;Nordeste;NE;18168;422573;1630933;6586;1214;;184100595,80;3127683;0,49;0,69
202405;27;AL;Alagoas;2;Nordeste;NE;23275;540605;2074887;6586;1231;;184100595,80;3127683;0,49;0,69
202406;27;AL;Alagoas;2;Nordeste;NE;28902;660519;2530928;6519;1245;387225;184100595,80;3127683;0,49;0,69
202407;27;AL;Alagoas;2;Nordeste;NE;34886;785183;3007078;6553;1242;;184100595,80;3127683;0,49;0,69
202408;27;AL;Alagoas;2;Nordeste;NE;41330;923467;3514418;6488;1243;;184100595,80;3127683;0,49;0,69
202409;27;AL;Alagoas;2;Nordeste;NE;47058;1058685;4015482;6567;1256;385588;184100595,80;3127683;0,49;0,69
202410;27;AL;Alagoas;2;Nordeste;NE;53252;1189943;4520458;6581;1256;;184100595,80;3127683;0,49;0,69
202411;27;AL;Alagoas;2;Nordeste;NE;58576;1311099;4990573;6581;1273;;184100595,80;3127683;0,49;0,69
202412;27;AL;Alagoas;2;Nordeste;NE;65273;1411943;5401146;6661;1275;388549;184100595,80;3127683;0,49;0,69
202501;27;AL;Alagoas;2;Nordeste;NE;4346;90627;394538;6697;1281;;;3127683;0,49;0,69
202502;27;AL;Alagoas;2;Nordeste;NE;9072;189996;813541;6721;1267;;;3127683;0,49;0,69
202503;27;AL;Alagoas;2;Nordeste;NE;13902;288897;1235134;6811;1283;388131;;3127683;0,49;0,69
202504;27;AL;Alagoas;2;Nordeste;NE;19363;396643;1686166;6837;1292;;;3127683;0,49;0,69
202505;27;AL;Alagoas;2;Nordeste;NE;24893;494745;2139535;6839;1291;;;3127683;0,49;0,69
202506;27;AL;Alagoas;2;Nordeste;NE;31867;615803;2613074;6841;1308;388134;;3127683;0,49;0,69
202507;27;AL;Alagoas;2;Nordeste;NE;37636;732348;3101449;6841;1319;;;3127683;0,49;0,69
202303;16;AP;Amapá;1;Norte;N ;3832;23285;357793;1514;182;61886;148740117,36;733759;0,49;0,72
202304;16;AP;Amapá;1;Norte;N ;6260;45755;696135;1394;185;;148740117,36;733759;0,49;0,72
202305;16;AP;Amapá;1;Norte;N ;11522;73418;1073912;1551;185;;148740117,36;733759;0,49;0,72
202306;16;AP;Amapá;1;Norte;N ;14616;99276;1456420;1531;181;62369;148740117,36;733759;0,49;0,72
202307;16;AP;Amapá;1;Norte;N ;20114;127883;1853450;1489;185;;148740117,36;733759;0,49;0,72
202308;16;AP;Amapá;1;Norte;N ;22149;154322;2270411;1505;188;;148740117,36;733759;0,49;0,72
202309;16;AP;Amapá;1;Norte;N ;23314;178284;2674593;1522;189;61965;148740117,36;733759;0,49;0,72
202310;16;AP;Amapá;1;Norte;N ;23684;201892;3087156;1547;189;;148740117,36;733759;0,49;0,72
202311;16;AP;Amapá;1;Norte;N ;24020;226923;3500857;1547;189;;148740117,36;733759;0,49;0,72
202312;16;AP;Amapá;1;Norte;N ;24453;248762;3900344;1467;187;62292;148740117,36;733759;0,49;0,72
202401;16;AP;Amapá;1;Norte;N ;1008;22262;372152;1492;203;;178387370,04;733759;0,49;0,72
202402;16;AP;Amapá;1;Norte;N ;2086;46908;753900;1574;206;;178387370,04;733759;0,49;0,72
202403;16;AP;Amapá;1;Norte;N ;3162;74965;1179382;1583;208;62547;178387370,04;733759;0,49;0,72
202404;16;AP;Amapá;1;Norte;N ;4287;102799;1630933;1614;214;;178387370,04;733759;0,49;0,72
202405;16;AP;Amapá;1;Norte;N ;5396;129873;2074887;1623;219;;178387370,04;733759;0,49;0,72
202406;16;AP;Amapá;1;Norte;N ;6647;158456;2530928;1629;218;62968;178387370,04;733759;0,49;0,72
202407;16;AP;Amapá;1;Norte;N ;8150;186392;3007078;1578;225;;178387370,04;733759;0,49;0,72
202408;16;AP;Amapá;1;Norte;N ;10050;214968;3514418;1589;225;;178387370,04;733759;0,49;0,72
202409;16;AP;Amapá;1;Norte;N ;11713;243786;4015482;1576;236;63281;178387370,04;733759;0,49;0,72
202410;16;AP;Amapá;1;Norte;N ;13048;270340;4520458;1577;237;;178387370,04;733759;0,49;0,72
202411;16;AP;Amapá;1;Norte;N ;13869;297702;4990573;1621;237;;178387370,04;733759;0,49;0,72
