UF;sg_uf;populacao;gini;IDH
 Acre;AC;830018;0,511;0,746
 Alagoas;AL;3127683;0,486;0,694
 Amapá;AM;733759;0,491;0,724
 Amazonas;AM;3941613;0,512;0,727
 Bahia;BA;14141626;0,49;0,724
 Ceará;CE;8794957;0,513;0,755
 Distrito Federal;DF;2817381;0,543;0,829
 Espírito Santo;ES;3833712;0,486;0,792
 Goiás;GO;7056495;0,473;0,758
 Maranhão;MA;6776699;0,492;0,699
 Mato Grosso;MT;3658649;0,452;0,756
 Mato Grosso do Sul;MS;2757013;0,477;0,76
 Minas Gerais;MG;20539989;0,476;0,789
 Pará;PA;8120131;0,501;0,719
 Paraíba;PB;3974687;0,559;0,714
 Paraná;PR;11444380;0,463;0,787
 Pernambuco;PE;9058931;0,496;0,74
 Piauí;PI;3271199;0,552;0,708
 Rio de Janeiro;RJ;16055174;0,54;0,785
 Rio Grande do Norte;RN;3302729;0,535;0,75
 Rio Grande do Sul;RS;10882965;0,466;0,78
 Rondônia;RO;1581196;0,455;0,739
 Roraima;RR;636707;0,52;0,739
 Santa Catarina;SP;7610361;0,418;0,803
 São Paulo;SC;44411238;0,504;0,823
 Sergipe;SE;2210004;0,507;0,722
 Tocantins;TO;1511460;0,477;0,755
