COD_MUNICIPIO;ANO;NOME_MUNICIPIO;UF;QUILOMBOLA_INDIGENA;DOMICILIOS;POPULACAO;AREA_TERRITORIAL;I_ABASTECIMENTO_TOTAL_AGUA;I_CONETADOS_ESGOTO;I_COLETA_DE_LIXO;I_DOMICILIOS_COM_ENERGIA_ELETRICA;I_POPULACAO_QUILOMBOLA_INDIGENA_EM_TERRITORIO_DEMARCADO;MEDICOS_TOTAIS;I_MEDICOS_10K_HABITANTES;UBS_TOTAIS;I_DENSIDADE_UBS;I_COBERTURA_ESF;PESSOAS_BENEFICIARIAS_BOLSA_FAMILIA;I_PESSOAS_BENEFICIARIAS_BOLSA_FAMILIA;CONSULTAS_AMBULATORIAIS_TOTAIS;I_CONSULTAS_AMBULATORIAIS_POR_HABITANTES;VACINAS_APLICADAS_TOTAIS;I_VACINAS_APLICADAS_POR_HABITANTES;obitos_evitaveis;I_OBITOS_EVITAVEIS_100K_HABITANTES
140070;2015;Uiramutã;RR;Indígena;1444;8232;8113;43,98;;11,01;29,22;;6;7,29;4;4,86;100,00;6688;81,24;37005;4,50;18241;2,22;3;3,64
140070;2016;Uiramutã;RR;Indígena;1444;8232;8113;43,98;;11,01;29,22;;6;7,29;3;3,64;100,00;7853;95,40;17932;2,18;18388;2,23;11;13,36
140070;2017;Uiramutã;RR;Indígena;1444;8232;8113;43,98;;11,01;29,22;;12;14,58;3;3,64;100,00;6480;78,72;7073;0,86;19646;2,39;11;13,36
140070;2018;Uiramutã;RR;Indígena;1444;8232;8113;43,98;;11,01;29,22;;11;13,36;4;4,86;100,00;7702;93,56;47;0,01;23739;2,88;9;10,93
140070;2019;Uiramutã;RR;Indígena;1444;8232;8113;43,98;;11,01;29,22;;10;12,15;4;4,86;100,00;7608;92,42;101;0,01;12616;1,53;6;7,29
140070;2020;Uiramutã;RR;Indígena;1444;8232;8113;43,98;;11,01;29,22;;5;6,07;3;3,64;100,00;8205;99,67;266;0,03;3600;0,44;16;19,44
140070;2021;Uiramutã;RR;Indígena;1444;13695;8113;43,98;;11,01;29,22;;4;2,92;4;2,92;84,20;8252;60,26;591;0,04;2497;0,18;30;21,91
140070;2022;Uiramutã;RR;Indígena;1444;13695;8113;54,30;0,21;13,60;99,80;99,66;4;2,92;4;2,92;97,98;11720;85,58;418;0,03;3480;0,25;17;12,41
140070;2023;Uiramutã;RR;Indígena;1444;13695;8113;54,30;0,21;13,60;99,80;99,66;5;3,65;3;2,19;100,00;;;549;0,04;;;17;12,41
140070;2024;Uiramutã;RR;Indígena;1444;13695;8113;54,30;0,21;13,60;99,80;99,66;8;5,84;4;2,92;100,00;;;432;0,03;;;;
"130380	";2015;São Gabriel da Cachoeira;AM;Indígena;7490;47031;109192;31,19;3,30;51,38;68,08;;36;7,65;4;0,85;65,18;27221;57,88;428537;9,11;41942;0,89;107;22,75
"130380	";2016;São Gabriel da Cachoeira;AM;Indígena;7490;47031;109192;31,19;3,30;51,38;68,08;;33;7,02;4;0,85;56,04;26278;55,87;495152;10,53;42912;0,91;109;23,18
"130380	";2017;São Gabriel da Cachoeira;AM;Indígena;7490;47031;109192;31,19;3,30;51,38;68,08;;38;8,08;4;0,85;55,10;24846;52,83;365319;7,77;52469;1,12;117;24,88
"130380	";2018;São Gabriel da Cachoeira;AM;Indígena;7490;47031;109192;31,19;3,30;51,38;68,08;;31;6,59;4;0,85;54,21;24711;52,54;113878;2,42;67737;1,44;129;27,43
"130380	";2019;São Gabriel da Cachoeira;AM;Indígena;7490;47031;109192;31,19;3,30;51,38;68,08;;59;12,54;4;0,85;53,89;22854;48,59;72652;1,54;61688;1,31;111;23,60
"130380	";2020;São Gabriel da Cachoeira;AM;Indígena;7490;47031;109192;31,19;3,30;51,38;68,08;;71;15,10;4;0,85;63,93;25700;54,64;75273;1,60;18703;0,40;153;32,53
"130380	";2021;São Gabriel da Cachoeira;AM;Indígena;7490;47031;109192;31,19;3,30;51,38;68,08;;63;13,40;5;1,06;51,51;26648;56,66;44147;0,94;17770;0,38;125;26,58
"130380	";2022;São Gabriel da Cachoeira;AM;Indígena;7490;51258;109192;23,78;3,32;53,73;56,90;99,24;75;14,63;5;0,98;54,50;36170;70,56;113195;2,21;18592;0,36;131;25,56
"130380	";2023;São Gabriel da Cachoeira;AM;Indígena;7490;51795;109192;23,78;3,32;53,73;56,90;99,24;94;18,15;5;0,97;56,11;;;130155;2,51;;;135;26,06
"130380	";2024;São Gabriel da Cachoeira;AM;Indígena;7490;51795;109192;23,78;3,32;53,73;56,90;99,24;98;18,92;5;0,97;60,81;;;130942;2,53;;;;
130360;2015;Santa Isabel do Rio Negro;AM;Indígena;2606;25865;62798;44,24;1,10;44,01;65,89;;10;3,87;3;1,16;63,59;7760;30,00;42986;1,66;12877;0,50;21;8,12
130360;2016;Santa Isabel do Rio Negro;AM;Indígena;2606;25865;62798;44,24;1,10;44,01;65,89;;4;1,55;2;0,77;61,60;8028;31,04;144886;5,60;8430;0,33;14;5,41
130360;2017;Santa Isabel do Rio Negro;AM;Indígena;2606;25865;62798;44,24;1,10;44,01;65,89;;10;3,87;2;0,77;59,76;7768;30,03;42308;1,64;9330;0,36;17;6,57
130360;2018;Santa Isabel do Rio Negro;AM;Indígena;2606;25865;62798;44,24;1,10;44,01;65,89;;10;3,87;2;0,77;58,07;7743;29,94;3994;0,15;14552;0,56;21;8,12
130360;2019;Santa Isabel do Rio Negro;AM;Indígena;2606;25865;62798;44,24;1,10;44,01;65,89;;13;5,03;3;1,16;70,59;8019;31,00;24932;0,96;10308;0,40;18;6,96
130360;2020;Santa Isabel do Rio Negro;AM;Indígena;2606;25865;62798;44,24;1,10;44,01;65,89;;19;7,35;3;1,16;54,86;8329;32,20;36495;1,41;8177;0,32;30;11,60
130360;2021;Santa Isabel do Rio Negro;AM;Indígena;2606;26566;62798;44,24;1,10;44,01;65,89;;9;3,39;2;0,75;32,50;8361;31,47;17388;0,65;7941;0,30;40;15,06
130360;2022;Santa Isabel do Rio Negro;AM;Indígena;2606;14164;62798;43,36;3,91;53,14;45,60;99,70;4;2,82;2;1,41;31,56;9107;64,30;7888;0,56;7037;0,50;39;27,53
130360;2023;Santa Isabel do Rio Negro;AM;Indígena;2606;14164;62798;43,36;3,91;53,14;45,60;99,70;12;8,47;2;1,41;31,26;9233;65,19;52306;3,69;;;26;18,36
130360;2024;Santa Isabel do Rio Negro;AM;Indígena;2606;14164;62798;43,36;3,91;53,14;45,60;99,70;15;10,59;3;2,12;100,00;;;62625;4,42;;;;
250140;2015;Baía da Traição;PB;Indígena;2096;8561;102;91,79;0,25;43,89;98,09;;8;9,34;4;4,67;100,00;5544;64,76;33036;3,86;6251;0,73;19;22,19
250140;2016;Baía da Traição;PB;Indígena;2096;8561;102;91,79;0,25;43,89;98,09;;7;8,18;4;4,67;100,00;5359;62,60;42115;4,92;5140;0,60;6;7,01
250140;2017;Baía da Traição;PB;Indígena;2096;8561;102;91,79;0,25;43,89;98,09;;7;8,18;4;4,67;100,00;5337;62,34;98106;11,46;7495;0,88;7;8,18
250140;2018;Baía da Traição;PB;Indígena;2096;8561;102;91,79;0,25;43,89;98,09;;7;8,18;4;4,67;100,00;5538;64,69;45377;5,30;2882;0,34;12;14,02
250140;2019;Baía da Traição;PB;Indígena;2096;8561;102;91,79;0,25;43,89;98,09;;8;9,34;4;4,67;100,00;5529;64,58;51164;5,98;3145;0,37;10;11,68
250140;2020;Baía da Traição;PB;Indígena;2096;8561;102;91,79;0,25;43,89;98,09;;10;11,68;4;4,67;100,00;5602;65,44;28317;3,31;2253;0,26;14;16,35
250140;2021;Baía da Traição;PB;Indígena;2096;9197;102;91,79;0,25;43,89;98,09;;8;8,70;4;4,35;100,00;5662;61,56;26853;2,92;3305;0,36;27;29,36
250140;2022;Baía da Traição;PB;Indígena;2096;9224;102;97,64;1,29;49,64;99,07;95,05;9;9,76;4;4,34;100,00;6105;66,19;35700;3,87;3943;0,43;18;19,51
250140;2023;Baía da Traição;PB;Indígena;2096;9203;102;97,64;1,29;49,64;99,07;95,05;9;9,78;5;5,43;100,00;6112;66,41;38446;4,18;;;16;17,39
250140;2024;Baía da Traição;PB;Indígena;2096;9203;102;97,64;1,29;49,64;99,07;95,05;12;13,04;5;5,43;;;;48242;5,24;;;;
250905;2015;Marcação;PB;Indígena;2040;8653;122;95,98;;34,31;99,02;;7;8,09;3;3,47;100,00;5277;60,98;32186;3,72;8447;0,98;9;10,40
250905;2016;Marcação;PB;Indígena;2040;8653;122;95,98;;34,31;99,02;;7;8,09;4;4,62;100,00;5166;59,70;37449;4,33;4698;0,54;10;11,56
250905;2017;Marcação;PB;Indígena;2040;8653;122;95,98;;34,31;99,02;;7;8,09;4;4,62;100,00;5450;62,98;112696;13,02;5763;0,67;10;11,56
250905;2018;Marcação;PB;Indígena;2040;8653;122;95,98;;34,31;99,02;;8;9,25;4;4,62;100,00;5647;65,26;6778;0,78;4903;0,57;7;8,09
250905;2019;Marcação;PB;Indígena;2040;8653;122;95,98;;34,31;99,02;;7;8,09;4;4,62;100,00;5940;68,65;4929;0,57;3818;0,44;8;9,25
250905;2020;Marcação;PB;Indígena;2040;8653;122;95,98;;34,31;99,02;;11;12,71;4;4,62;100,00;6609;76,38;10784;1,25;5718;0,66;11;12,71
250905;2021;Marcação;PB;Indígena;2040;8746;122;95,98;;34,31;99,02;;12;13,72;4;4,57;99,87;6106;69,81;21099;2,41;2789;0,32;21;24,01
250905;2022;Marcação;PB;Indígena;2040;8999;122;71,83;2,39;50,51;;88,08;13;14,45;4;4,44;100,00;6237;69,31;34169;3,80;5704;0,63;18;20,00
250905;2023;Marcação;PB;Indígena;2040;8999;122;71,83;2,39;50,51;;88,08;10;11,11;4;4,44;100,00;6194;68,83;22007;2,45;;;15;16,67
250905;2024;Marcação;PB;Indígena;2040;8999;122;71,83;2,39;50,51;;88,08;12;13,33;4;4,44;;;;25105;2,79;;;;
210020;2015;Alcântara;MA;Quilombola;6074;22042;1167;57,54;;22,23;97,20;;14;6,35;9;4,08;100,00;13742;62,34;122098;5,54;4842;0,22;18;8,17
210020;2016;Alcântara;MA;Quilombola;6074;22056;1167;57,54;;22,23;97,20;;12;5,44;9;4,08;100,00;13449;60,98;106265;4,82;2595;0,12;21;9,52
210020;2017;Alcântara;MA;Quilombola;6074;22070;1167;57,54;;22,23;97,20;;20;9,06;9;4,08;100,00;14399;65,24;40962;1,86;5375;0,24;21;9,52
210020;2018;Alcântara;MA;Quilombola;6074;22084;1167;57,54;;22,23;97,20;;14;6,34;9;4,08;100,00;14892;67,43;13142;0,60;9910;0,45;27;12,23
210020;2019;Alcântara;MA;Quilombola;6074;22098;1167;57,54;;22,23;97,20;;16;7,24;9;4,07;100,00;14781;66,89;22278;1,01;8885;0,40;16;7,24
210020;2020;Alcântara;MA;Quilombola;6074;22112;1167;57,54;;22,23;97,20;;18;8,14;9;4,07;100,00;14788;66,88;33012;1,49;8870;0,40;27;12,21
210020;2021;Alcântara;MA;Quilombola;6074;22126;1167;57,54;;22,23;97,20;;16;7,23;9;4,07;82,36;14823;66,99;86952;3,93;4844;0,22;25;11,30
210020;2022;Alcântara;MA;Quilombola;6074;18467;1167;45,85;5,44;29,12;;94,70;28;15,16;9;4,87;85,64;14002;75,82;18348;0,99;6676;0,36;29;15,70
210020;2023;Alcântara;MA;Quilombola;6074;18467;1167;45,85;5,44;29,12;;94,70;31;16,79;9;4,87;86,78;13935;75,46;59299;3,21;;;30;16,25
210020;2024;Alcântara;MA;Quilombola;6074;18467;1167;45,85;5,44;29,12;;94,70;25;13,54;9;4,87;;;;16033;0,87;;;;
211178;2015;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;58,52;;0,55;83,70;;12;11,65;4;3,88;100,00;8365;81,22;77410;7,52;4773;0,46;16;15,54
211178;2016;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;58,52;;0,55;83,70;;7;6,80;5;4,85;100,00;8525;82,78;70698;6,86;1901;0,18;11;10,68
211178;2017;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;58,52;;0,55;83,70;;8;7,77;5;4,85;100,00;9291;90,21;91027;8,84;4219;0,41;12;11,65
211178;2018;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;58,52;;0,55;83,70;;6;5,83;5;4,85;100,00;9325;90,54;67679;6,57;4732;0,46;10;9,71
211178;2019;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;58,52;;0,55;83,70;;5;4,85;6;5,83;100,00;9284;90,14;44982;4,37;4831;0,47;7;6,80
211178;2020;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;58,52;;0,55;83,70;;5;4,85;5;4,85;100,00;9273;90,04;84073;8,16;2794;0,27;12;11,65
211178;2021;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;58,52;;0,55;83,70;;8;7,77;5;4,85;100,00;9188;89,21;42463;4,12;2966;0,29;12;11,65
211178;2022;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;70,04;1,43;1,68;;84,98;5;4,85;5;4,85;100,00;10467;101,63;82356;8,00;5520;0,54;17;16,51
211178;2023;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;70,04;1,43;1,68;;84,98;10;9,71;5;4,85;100,00;10154;98,59;94079;9,13;;;16;15,54
211178;2024;Serrano do Maranhão;MA;Quilombola;2736;10299;1185;70,04;1,43;1,68;;84,98;8;7,77;5;4,85;;;;10880;1,06;;;;
210312;2015;Central do Maranhão;MA;Quilombola;1979;8740;319;63,16;;14,91;94,85;;4;4,58;3;3,43;100,00;5581;63,86;128211;14,67;4532;0,52;10;11,44
210312;2016;Central do Maranhão;MA;Quilombola;1979;8740;319;63,16;;14,91;94,85;;2;2,29;3;3,43;100,00;5695;65,16;125988;14,42;906;0,10;18;20,59
210312;2017;Central do Maranhão;MA;Quilombola;1979;8740;319;63,16;;14,91;94,85;;6;6,86;3;3,43;100,00;5950;68,08;112016;12,82;4073;0,47;18;20,59
210312;2018;Central do Maranhão;MA;Quilombola;1979;8740;319;63,16;;14,91;94,85;;6;6,86;3;3,43;100,00;6001;68,66;43972;5,03;6782;0,78;15;17,16
210312;2019;Central do Maranhão;MA;Quilombola;1979;8740;319;63,16;;14,91;94,85;;6;6,86;3;3,43;100,00;5721;65,46;14995;1,72;7251;0,83;11;12,59
210312;2020;Central do Maranhão;MA;Quilombola;1979;8740;319;63,16;;14,91;94,85;;5;5,72;3;3,43;100,00;5712;65,35;15471;1,77;3017;0,35;13;14,87
210312;2021;Central do Maranhão;MA;Quilombola;1979;8740;319;63,16;;14,91;94,85;;5;5,72;4;4,58;73,43;5741;65,69;20196;2,31;3916;0,45;15;17,16
210312;2022;Central do Maranhão;MA;Quilombola;1979;7082;319;70,95;0,18;50,18;;0,00;5;7,06;4;5,65;78,75;6070;85,71;33321;4,71;5025;0,71;17;24,00
210312;2023;Central do Maranhão;MA;Quilombola;1979;7082;319;70,95;0,18;50,18;;0,00;7;9,88;4;5,65;85,77;6120;86,42;16287;2,30;;;16;22,59
210312;2024;Central do Maranhão;MA;Quilombola;1979;7082;319;70,95;0,18;50,18;;0,00;8;11,30;4;5,65;;;;61308;8,66;;;;
211170;2015;São Vicente Férrer;MA;Quilombola;5163;22350;393;23,86;0,24;10,28;97,06;;17;7,61;8;3,58;100,00;12670;56,69;340709;15,24;15752;0,70;31;13,87
211170;2016;São Vicente Férrer;MA;Quilombola;5163;22350;393;23,86;0,24;10,28;97,06;;17;7,61;8;3,58;100,00;13029;58,30;221706;9,92;6799;0,30;29;12,98
